"カナザワシ" "角間町" "カクママチ"      "金沢大学　（角間キャンパス）" "カナザワダイガク　（カクマキヤンパス）"
"カナザワシ" "金川町" "カナガワマチ"      "北陸大学　薬学部" "ホクリクダイガク　ヤクガクブ"
"カナザワシ" "御所町" "ゴショマチ"      "学校法人　稲置学園　金沢星稜大学" "ガツコウホウジン　イナオキガクエン　カナザワセイリヨウダイガク"
"カナザワシ" "小立野" "コダツノ"      "金沢美術工芸大学" "カナザワビジユツコウゲイダイガク"
"カナザワシ" "末町" "スエマチ"      "金沢学院大学" "カナザワガクインダイガク"
"カナザワシ" "末町" "スエマチ"      "金沢学院大学付属高等学校" "カナザワガクインダイガクフゾクコウトウガツコウ"
"カナザワシ" "太陽が丘" "タイヨウガオカ"      "北陸大学" "ホクリクダイガク"
"カナザワシ" "宝町" "タカラマチ"      "金沢大学　医学部" "カナザワダイガク　イガクブ"
"カナザワシ" "宝町" "タカラマチ"      "金沢大学　附属病院" "カナザワダイガク　フゾクビヨウイン"
"カナザワシ" "三小牛町" "ミツコウジマチ"      "北陸学院短期大学" "ホクリクガクインタンキダイガク"
"コマツシ" "四丁町" "シチョウマチ"      "公立大学法人　公立小松大学" "コウリツダイガクホウジン　コウリツコマツダイガク"
"ハクサンシ" "笠間町" "カサママチ"      "金城大学" "キンジヨウダイガク"
"ノミシ" "旭台" "アサヒダイ"      "北陸先端科学技術大学院大学" "ホクリクセンタンカガクギジユツダイガクインダイガク"
"ノノイチシ" "扇が丘" "オウギガオカ"      "学校法人　金沢工業大学" "ガツコウホウジン　カナザワコウギヨウダイガク"
"カホクグンウチナダマチ" "大学" "ダイガク"      "金沢医科大学" "カナザワイカダイガク"
