住所コード	都道府県コード	市区町村コード	町域コード	郵便番号	事業所フラグ	廃止フラグ	都道府県	都道府県カナ	市区町村	市区町村カナ	町域	町域カナ	町域補足	京都通り名	字丁目	字丁目カナ	補足	事業所名	事業所名カナ	事業所住所	新住所コード
930019600	16	16201	162010223	"930-0196"	1	0	"富山県"	"トヤマケン"	"富山市"	"トヤマシ"	"願海寺"	"ガンカイジ"						"富山国際大学"	"トヤマコクサイダイガク"	"願海寺水口４４４番地"	
930019300	16	16201	162010223	"930-0193"	1	0	"富山県"	"トヤマケン"	"富山市"	"トヤマシ"	"願海寺"	"ガンカイジ"						"富山短期大学"	"トヤマタンキダイガク"	"願海寺水口４４４"	
930855600	16	16201	162010282	"930-8556"	1	0	"富山県"	"トヤマケン"	"富山市"	"トヤマシ"	"五艘"	"ゴソウ"						"富山大学　教育学部附属学校"	"トヤマダイガク　キヨウイクガクブフゾクガツコウ"	"五艘１３００"	
930855500	16	16201	162010287	"930-8555"	1	0	"富山県"	"トヤマケン"	"富山市"	"トヤマシ"	"五福"	"ゴフク"						"富山大学"	"トヤマダイガク"	"五福３１９０"	
930019400	16	16201	162010373	"930-0194"	1	0	"富山県"	"トヤマケン"	"富山市"	"トヤマシ"	"杉谷"	"スギタニ"						"富山大学杉谷（医薬系）キャンパス"	"トヤマダイガクスギタニ（イヤクケイ）キヤンパス"	"杉谷２６３０"	
930019500	16	16201	162010373	"930-0195"	1	0	"富山県"	"トヤマケン"	"富山市"	"トヤマシ"	"杉谷"	"スギタニ"						"富山大学附属図書館医薬学図書館"	"トヤマダイガクフゾクトシヨカンイヤクガクトシヨカン"	"杉谷２６３０"	
930129200	16	16201	162010590	"930-1292"	1	0	"富山県"	"トヤマケン"	"富山市"	"トヤマシ"	"東黒牧"	"ヒガシクロマキ"						"富山国際大学"	"トヤマコクサイダイガク"	"東黒牧６５−１"	
939119300	16	16202	162020195	"939-1193"	1	0	"富山県"	"トヤマケン"	"高岡市"	"タカオカシ"	"戸出石代"	"トイデコクダイ"						"高岡法科大学"	"タカオカホウカダイガク"	"戸出石代３０７−３"	
933858800	16	16202	162020321	"933-8588"	1	0	"富山県"	"トヤマケン"	"高岡市"	"タカオカシ"	"二上町"	"フタガミマチ"						"富山大学　高岡キャンパス"	"トヤマダイガク　タカオカキヤンパス"	"二上町１８０番地"	
935853100	16	16205	162050047	"935-8531"	1	0	"富山県"	"トヤマケン"	"氷見市"	"ヒミシ"	"鞍川"	"クラカワ"						"金沢医科大学　氷見市民病院"	"カナザワイカダイガク　ヒミシミンビヨウイン"	"鞍川１１３０番地"	
939039800	16	16211	162110046	"939-0398"	1	0	"富山県"	"トヤマケン"	"射水市"	"イミズシ"	"黒河"	"クロカワ"						"富山県立大学"	"トヤマケンリツダイガク"	"黒河５１８０"	
939039200	16	16211	162110046	"939-0392"	1	0	"富山県"	"トヤマケン"	"射水市"	"イミズシ"	"黒河"	"クロカワ"						"富山県立　大学生活協同組合"	"トヤマケンリツ　ダイガクセイカツキヨウドウクミアイ"	"黒河５１８０"	
920119200	17	17201	172010096	"920-1192"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"角間町"	"カクママチ"						"金沢大学　（角間キャンパス）"	"カナザワダイガク　（カクマキヤンパス）"	"角間町１"	
920118100	17	17201	172010112	"920-1181"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"金川町"	"カナガワマチ"						"北陸大学　薬学部"	"ホクリクダイガク　ヤクガクブ"	"金川町ホ３"	
920862000	17	17201	172010168	"920-8620"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"御所町"	"ゴショマチ"						"学校法人　稲置学園　金沢星稜大学"	"ガツコウホウジン　イナオキガクエン　カナザワセイリヨウダイガク"	"御所町丑１０番地１"	
920865600	17	17201	172010169	"920-8656"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"小立野"	"コダツノ"						"金沢美術工芸大学"	"カナザワビジユツコウゲイダイガク"	"小立野５丁目１１−１"	
920139200	17	17201	172010240	"920-1392"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"末町"	"スエマチ"						"金沢学院大学"	"カナザワガクインダイガク"	"末町１０−５−１"	
920139300	17	17201	172010240	"920-1393"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"末町"	"スエマチ"						"金沢学院大学付属高等学校"	"カナザワガクインダイガクフゾクコウトウガツコウ"	"末町１０"	
920118000	17	17201	172010259	"920-1180"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"太陽が丘"	"タイヨウガオカ"						"北陸大学"	"ホクリクダイガク"	"太陽が丘１丁目１"	
920864000	17	17201	172010276	"920-8640"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"宝町"	"タカラマチ"						"金沢大学　医学部"	"カナザワダイガク　イガクブ"	"宝町１３−１"	
920864100	17	17201	172010276	"920-8641"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"宝町"	"タカラマチ"						"金沢大学　附属病院"	"カナザワダイガク　フゾクビヨウイン"	"宝町１３−１"	
920139600	17	17201	172010456	"920-1396"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"三小牛町"	"ミツコウジマチ"						"北陸学院短期大学"	"ホクリクガクインタンキダイガク"	"三小牛町イ１１"	
923851100	17	17203	172030095	"923-8511"	1	0	"石川県"	"イシカワケン"	"小松市"	"コマツシ"	"四丁町"	"シチョウマチ"						"公立大学法人　公立小松大学"	"コウリツダイガクホウジン　コウリツコマツダイガク"	"四丁町ヌ１−３"	
924851100	17	17210	172100033	"924-8511"	1	0	"石川県"	"イシカワケン"	"白山市"	"ハクサンシ"	"笠間町"	"カサママチ"						"金城大学"	"キンジヨウダイガク"	"笠間町１２００番地"	
923129200	17	17211	172110004	"923-1292"	1	0	"石川県"	"イシカワケン"	"能美市"	"ノミシ"	"旭台"	"アサヒダイ"						"北陸先端科学技術大学院大学"	"ホクリクセンタンカガクギジユツダイガクインダイガク"	"旭台１丁目１"	
921850100	17	17212	172120003	"921-8501"	1	0	"石川県"	"イシカワケン"	"野々市市"	"ノノイチシ"	"扇が丘"	"オウギガオカ"						"学校法人　金沢工業大学"	"ガツコウホウジン　カナザワコウギヨウダイガク"	"扇が丘７−１"	
920029300	17	17365	173650006	"920-0293"	1	0	"石川県"	"イシカワケン"	"河北郡内灘町"	"カホクグンウチナダマチ"	"大学"	"ダイガク"						"金沢医科大学"	"カナザワイカダイガク"	"大学１丁目１"	
910850700	18	18201	182010429	"910-8507"	1	0	"福井県"	"フクイケン"	"福井市"	"フクイシ"	"文京"	"ブンキョウ"						"福井大学"	"フクイダイガク"	"文京３丁目９−１"	
910852500	18	18201	182010429	"910-8525"	1	0	"福井県"	"フクイケン"	"福井市"	"フクイシ"	"文京"	"ブンキョウ"						"福井大学　生活協同組合"	"フクイダイガク　セイカツキヨウドウクミアイ"	"文京３丁目９−１"	
915858600	18	18209	182090027	"915-8586"	1	0	"福井県"	"フクイケン"	"越前市"	"エチゼンシ"	"大手町"	"オオデチョウ"						"仁愛大学"	"ジンアイダイガク"	"大手町３−１−１"	
910119500	18	18322	183220047	"910-1195"	1	0	"福井県"	"フクイケン"	"吉田郡永平寺町"	"ヨシダグンエイヘイジチョウ"	"松岡兼定島"	"マツオカケンジョウジマ"						"福井県立大学"	"フクイケンリツダイガク"	"松岡兼定島４−１−１"	
910119300	18	18322	183220054	"910-1193"	1	0	"福井県"	"フクイケン"	"吉田郡永平寺町"	"ヨシダグンエイヘイジチョウ"	"松岡下合月"	"マツオカシモアイヅキ"						"福井大学　医学部"	"フクイダイガク　イガクブ"	"松岡下合月２３−３"	
910119400	18	18322	183220054	"910-1194"	1	0	"福井県"	"フクイケン"	"吉田郡永平寺町"	"ヨシダグンエイヘイジチョウ"	"松岡下合月"	"マツオカシモアイヅキ"						"福井大学　医学図書館"	"フクイダイガク　イガクトシヨカン"	"松岡下合月２３−３"	
501119600	21	21201	212010406	"501-1196"	1	0	"岐阜県"	"ギフケン"	"岐阜市"	"ギフシ"	"大学西"	"ダイガクニシ"						"岐阜薬科大学"	"ギフヤツカダイガク"	"大学西１丁目２５番地４"	
501119601	21	21201	212010406	"501-1196"	1	0	"岐阜県"	"ギフケン"	"岐阜市"	"ギフシ"	"大学西"	"ダイガクニシ"						"岐阜薬科大学　本部"	"ギフヤツカダイガク　ホンブ"	"大学西１丁目２５番地４"	
501259200	21	21201	212010431	"501-2592"	1	0	"岐阜県"	"ギフケン"	"岐阜市"	"ギフシ"	"太郎丸"	"タロウマル"						"岐阜女子大学"	"ギフジヨシダイガク"	"太郎丸８０"	
